ID,FIS1PW1,FIS2PW1,FIS3PW1,FIS4PW1,FIS5PW1,FIS6PW1,FIS1PW1_R,FIS2PW1_R,FIS4PW1_R,FIS3PW1_R,FIS5PW1_R,FIS6PW1_R,FISPW1_T,FISPW1_L
1002,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1005,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1007,Often True,Sometimes True,Yes,Some months but not every month,Yes,No,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=yes,=yes,=no,5.0,3.0
1008,Sometimes True,Sometimes True,No,,No,No,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,2.0,2.0
1012,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1013,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1014,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1015,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1016,Sometimes True,Sometimes True,No,,No,No,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,2.0,2.0
1017,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1018,Sometimes True,Sometimes True,No,,No,No,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,2.0,2.0
1020,Never True,Sometimes True,Yes,Only 1 or 2 months,Yes,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=yes,=yes,=no,3.0,2.0
1021,Never True,Sometimes True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,1.0,1.0
1022,Never True,Sometimes True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,1.0,1.0
1024,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1026,Sometimes True,Sometimes True,Yes,Only 1 or 2 months,Yes,Yes,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=yes,=yes,=yes,5.0,3.0
1028,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1030,Sometimes True,Often True,No,,Yes,No,=often or sometimes true OR almost every month or some months,=often or sometimes true OR almost every month or some months,=never true OR only 1 or 2 months OR do not know,=no,=yes,=no,3.0,2.0
1031,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1036,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1037,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1039,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1040,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
1041,Never True,Never True,No,,No,No,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=never true OR only 1 or 2 months OR do not know,=no,=no,=no,0.0,1.0
